type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2008-08-22T13:06:35.000Z,9to5mac,9to5Mac,We break Apple news. Have a tip for us? Send it to tips@9to5mac.com,"Cupertino, CA",15944436,844443,41,84511
ProfilePage,2008-08-22T13:06:35.000Z,9to5mac,9to5Mac,We break Apple news. Have a tip for us? Send it to tips@9to5mac.com,"Cupertino, CA",15944436,844443,41,84511
ProfilePage,2012-07-16T14:09:00.000Z,patrikstrausz,Patrik Strausz,exec @paniqroom,"Los Angeles, CA",637079100,91,215,310
ProfilePage,2012-07-16T14:09:00.000Z,patrikstrausz,Patrik Strausz,exec @paniqroom,"Los Angeles, CA",637079100,91,215,310
ProfilePage,2022-10-31T17:26:15.000Z,Zypherlibra,Zypher,Mostly plays COD and loves dragon ball,,1587133807651586048,37,268,1144
ProfilePage,2019-08-06T07:29:32.000Z,HERD_Elephants,HERD,Hoedspruit Elephant Rehabilitation and Development (HERD) - South Africa’s first dedicated Elephant Orphanage 🐘 501(c)(3) Charity & South African PBO,South Africa,1158641239287324672,6330,816,4654
ProfilePage,2019-08-06T07:29:32.000Z,HERD_Elephants,HERD,Hoedspruit Elephant Rehabilitation and Development (HERD) - South Africa’s first dedicated Elephant Orphanage 🐘 501(c)(3) Charity & South African PBO,South Africa,1158641239287324672,6330,816,4654
ProfilePage,2014-03-13T15:08:21.000Z,jojoaintsad,🥝,ig; by.jnshjhn,,2387188550,414,325,11571
ProfilePage,2014-03-13T15:08:21.000Z,jojoaintsad,🥝,ig; by.jnshjhn,,2387188550,414,325,11571
ProfilePage,2022-06-01T17:44:52.000Z,theapplecycle,Apple Cycle,"Covering the latest Apple news & rumors. Creating custom wallpapers & icons. More than 4,000 followers on IG.","Paris, France",1532055471112216576,395,35,749
ProfilePage,2021-07-23T03:22:41.000Z,BoomerRube,Credulous Boomer Rube,"""People are tired of incompetence being protected by diversity.""
                                                                                  Greg  Gutfeld",,1418411092070514690,2032,3593,12009
ProfilePage,2021-07-23T03:22:41.000Z,BoomerRube,Credulous Boomer Rube,"""People are tired of incompetence being protected by diversity.""
                                                                                  Greg  Gutfeld",,1418411092070514690,2032,3593,12009
ProfilePage,2021-07-23T03:22:41.000Z,BoomerRube,Credulous Boomer Rube,"""People are tired of incompetence being protected by diversity.""
                                                                                  Greg  Gutfeld",,1418411092070514690,2032,3593,12009
ProfilePage,2016-01-29T21:45:51.000Z,ShalyneNdungu,Shalyne Ndungu 🇰🇪,Creative Director @sidaiolorok | Artist | Muse | Self-improvement |,"Nairobi, Kenya.",4861626219,867,926,1643
ProfilePage,2015-05-31T01:42:32.000Z,jayy251_,jayy🥷🏾🀄️,"Psalms 91 | focus on ya finances, not my page🖕🏾https://t.co/2sd9Lo1Xw1","Mobile, AL",3304258481,408,368,7910
ProfilePage,2021-10-14T22:51:14.000Z,t_stonier,t_stonier,Black Lives Matter✊🏽✊🏾✊🏿 @netflix @circlenetflix S5⭕️ Cannabis enthusiast 💨🍃✨ Homo af🏳️‍🌈♌️ Cali raised🌴Vegas livin'🍾,"Las Vegas, NV",1448783375989239817,1661,116,3478
ProfilePage,2021-10-14T22:51:14.000Z,t_stonier,t_stonier,Black Lives Matter✊🏽✊🏾✊🏿 @netflix @circlenetflix S5⭕️ Cannabis enthusiast 💨🍃✨ Homo af🏳️‍🌈♌️ Cali raised🌴Vegas livin'🍾,"Las Vegas, NV",1448783375989239817,1661,116,3478
ProfilePage,2021-10-14T22:51:14.000Z,t_stonier,t_stonier,Black Lives Matter✊🏽✊🏾✊🏿 @netflix @circlenetflix S5⭕️ Cannabis enthusiast 💨🍃✨ Homo af🏳️‍🌈♌️ Cali raised🌴Vegas livin'🍾,"Las Vegas, NV",1448783375989239817,1661,116,3478
ProfilePage,2016-12-15T18:15:29.000Z,MajinBuOfficial,Majin Bu,✍️Creator 🔍Researcher 🏞️Traveler 📸Photographer 🤸‍♂️🏋️‍♂️🚵‍♀️🏃‍♂️Gym 🍕Food 👨‍💻Apple,The World,809461895161790464,18068,620,3971
ProfilePage,2015-09-02T22:53:08.000Z,xeetechcare,Zaryab Khan,I make tech videos on YouTube. https://t.co/kJYApjPKwG…,,3527785821,73550,647,2839
ProfilePage,2015-09-02T22:53:08.000Z,xeetechcare,Zaryab Khan,I make tech videos on YouTube. https://t.co/kJYApjPKwG…,,3527785821,73550,647,2839
