Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@oweishemwBunuzi,Maj Gen bunuzi,30 Nov 2022,@TobiasWhales @MajhuraI and 3 others ,,,,
@ModeWyckoff,Wyckoff Mode,30 Nov 2022,"I've owned MANY Apple products since year 2000.
I've owned MANY iPhones since iPhone 3g.
I also own MANY PC's and build PC's
If Apple removes Twitter from App Store, I want to encourage all to NEVER buy another Apple product until they change their tune! ",,,7,
@correctBlogger,Your Favorite Online Tech Blogger..,30 Nov 2022,@dabz_global ,1,,1,
@_shubbhm,Shubham,30 Nov 2022,"i want to  buy a smartphone gimbal for android phone around 6-7k.... but YouTubers har ek gimbal ko best bta rhe hain bcz of brand deal, iphone ka stabilization vaise bhi acha hota h that's why how can you say 4k price gimbal is best?? ",,,,
@ILoveMeSomeKee,Bonnie,30 Nov 2022,iPhone always tryna tell me how to spend my money & what I need to do with it I’ll update you when tf I want to I’ll buy more iCloud storage when I’m tf ready ,,,,
@improbabledrain,Somebody random,29 Nov 2022,@elonmusk and and @stillgray ,1,,1,
@Cemtleman11,MuslimX #FreeAssangeNow #StopUyghurGenocide,29 Nov 2022,@DineshDSouza @Apple and 2 others ,,,1,
@npigorr,"igão, 7;",29 Nov 2022,"@elonmusk  I want to subscribe to twitter blue on android, fix it there and stop being disheartened with those who don't have money to buy an iPhone ",,,,
@345Sampurnanath,Sam,29 Nov 2022,@elonmusk ,,,,
@davidstem2020,davidstem2020,29 Nov 2022,@elonmusk ,,,,
@SaiMadh99477848,Sai Madhu,29 Nov 2022,@encoword ,,,3,
@TweetAGiftUK,Tweet a Gift,29 Nov 2022,"If Elon made a series of new smartphones, would buy It instead of iPhone ? If yes, i want to follow you! Drop your handle and retweet if you agree, lets follow each other! ",,,,
@shariarsensei,Imtiaz Al-Shariar,29 Nov 2022,"I want to  buy a iphone 14 pro max, now all I need is @MrBeast to notice my tweet : l ",,,,
@teisdotnet,Teis,29 Nov 2022,@FoxNews ,,,5,
@Iujt_02,Iujt,29 Nov 2022,@wekilldemonz @TheMachoManOhY1 and 3 others ,1,,1,
@TKLam07,Teresa-Kay Lam,28 Nov 2022,@elonmusk ,,,,
@TGT112246,Tommy Toy,28 Nov 2022,"PARODY: I will never buy or use an Apple computer, iPad or iPhone .  It's payback for rejecting my applications for jobs at Apple.  BTW, I have his practically new iPhone 14 with all the accessories and manuals. I want to sell. $750 cash. !!@@!! ",,,,
@JustRefleX,Pöbelschnitzel,28 Nov 2022,@elonmusk ,,,,
@USMCmetal,Patricia McCormack,28 Nov 2022,@elonmusk and and @tim_cook ,,,,
@moodman78_,மங்கி D. Luffy,28 Nov 2022,@HELLAWAYV @hackt1v1st and and @UberFacts ,1,,,
@Tiara_Lanee,Tiara,28 Nov 2022,"Guys, I'm looking for ideas for a Christmas present for my girlfriend. I want to pay with crypto maybe pay via @UTRUST , my initial thought was to buy an iPhone . What do you think? #Crypto  #cryptocurrency  #Payment ",,,,
@IronBallzAndy,Mabhuti,28 Nov 2022,"Young king is tweeting from his new iPhone , I want to  buy another one… ",,,,
@Abbas__jr,Abbas_jr,27 Nov 2022,"I want to do Yahoo! I don buy big polo, big trouser, iPhone , laptop and bleaching cream abeg wetin remain ",,,,
@Official911Call,911Calls,27 Nov 2022,@aprokonurse1 and and @mac_daves ,,,,
@3ayoot,BLUE DAY,27 Nov 2022,hello to my silly tech friends i have a question. theoretically would it be a good idea to buy an iphone 11? my XS is on its last legs and i want to upgrade but a 12 is sooo expensive and an 11 just seems like the next best thing :P pls let me know ! ,,,,
@samaira__kohli,𝐀𝐬𝐡𝐦𝐢𝐭𝐚,27 Nov 2022,@PoonamS34754210 ,1,,,
@lokicurry,shalaka,27 Nov 2022,Guys I want to  buy an iPhone . Is 14 worth it or should I buy an older version please help? ,,,,
@dharmeshmer1717,Dharmesh Mer,27 Nov 2022,"Hi frends If I want to free iPhone , how can I because I can't afford iPhone , my monthly salary is 30k and if I buy I have to 5 month salary. @Apple  @AppleSupport ",,,,
@gottaluvvchia,𝑪𝒉𝒊𝒂♡,27 Nov 2022,I want to sell my iPhone and buy Christmas gifts for my bf ,,,,
@TheSillySnail,Alyssa Snail :P,26 Nov 2022,@RandomABOpinion @AB__Network and 2 others ,1,,3,
@stxhija,val,26 Nov 2022,I'll save for the new phone I want to  buy for my birthday but the point is which one should I buy ? Sadly I'm poor for an iPhone ,,,,
@yomithegod,Abayomi,26 Nov 2022,I want to sell my iPhone and buy Christmas stuffs for my girlfriend. ,,,,
@CaneteHannan,Edward Canyete Hannon,26 Nov 2022,@JenJJams ,1,,1,
@MRTaddD,Mr.TAD,26 Nov 2022,@reaIDonaIdTru_ ,,,,
@YottaMindset,Yotta Mindset,26 Nov 2022,@CollinRugg ,,,,
@ngozioflagos,Nigeriangirl,26 Nov 2022,@yabaleftonline ,1,,1,
@XesiriaMyers,Xesiria Myers,26 Nov 2022,@elonmusk and and @Liz_Wheeler ,,1,,
@ZacklerAl,al zackler,26 Nov 2022,This month i want to  buy something for myself. Suggest something ? Please not an iphone . I cant afford it for now wakaakaka ,,,,
@piraon27,Piraon27,25 Nov 2022,@bluebirdmuppet ,,,1,
@OmegaJolteon,Edward,25 Nov 2022,@rach_cparkerbby ,1,,1,
@DamiDamilari02,DreyTheTycoon,25 Nov 2022,"I want to do Yahoo! I don buy big polo, big trouser, iPhone , laptop and bleaching cream abeg wetin remain ",,,,
@SarishTks,Sarish DNF FANART,25 Nov 2022,@Sxoxobin ,,,1,
@kviglucci,Kevin Viglucci,25 Nov 2022,Mostly resigned to wanting to try an iPhone for my next phone but also very much don't want to buy a Mac at some point if I want to build an app or a small game . ,,,,
@JacksonGolden17,Tsukitayo,25 Nov 2022,@AustenHixkz @maxomans and and @Cobratate ,,,,
@iam_Dlink,On N’Off Boy,24 Nov 2022,"If you see an iPhone 13pm on the floor please dm, its not mine but I can buy it from you for 2500 I want to use iPhone this December ",,,,
@Rony__Jons,ᗷOᖇᗩᗷOᖇᗩ,24 Nov 2022,I wish to experience Android 13 yet i want to  buy an iPhone . I don't have money yet tho ,,,,
@Originalworldu2,mr beautiful,23 Nov 2022,I want to  buy rolls royce but am still contributing money for iPhone 7+. My dream must come true ,,,,
@Ox69420M,69420xxx.eth,23 Nov 2022,@djdoge69 ,,,1,
@GilbxTod,obiaabedidi,23 Nov 2022,I want get married to this girl so I am using itel A16 but I want to  buy my girl iPhone x..... So guys should I go on and buy her an iphone ?? ,,,,
@Rodrigo96F,Rodrigo Flores,23 Nov 2022,@AppleSupport I’ thinking about buying a new iPhone but I want to be sure that Apple won’t take a political side in the Twitter saga. Will Apple ban Twitter from the App Store? If that’s the case I’ll never again buy anything Apple. ,,,,
@Errcross,#StartingFromTheBottom,23 Nov 2022,@Naija_PR ,,,,
@GlamoFitness,Vikas Yadav,23 Nov 2022,Reels play bonuses not showing  i want to  buy new iphone but how to do instagram do something reels play bounces is the only way for me? @Twitter  @instagram  @GlamoFitness  @BillGates  @elonmusk  @imVkohli  @YouTube  @YouTubeIndia  @YTCreatorsIndia ,,,,
@KINGSLEY_UZOR_C,Hi I’m Kingsley𓃵,22 Nov 2022,@_Muyhideen and and @bod_republic ,,,,
@P_FELIPE_Silva,P Felipe Silva,22 Nov 2022,"@TwitterBlue Hi! I´m not user iphone in ""Brasil"". I work with Personal Computer. Do you know about If we will can to change to Twitter Blue? I want to  buy .
I need edit and other functions. Thanks!
Um grande abraço do Brasil, Muskão da Massa. @elonmusk ",,,,
@GlendaM_M,King David,22 Nov 2022,I want to  buy  iPhone mara ketlo e berekisa eng? What's the purpose of buying an expensive phone? For Pictures ? ,,,,
@jmwbmw,Jim Wanserski,22 Nov 2022,@TMobile please DM as I don’t understand why Bestbuy portal says “TMO says I need to put down $419.99 for an iPhone 14promax but your app doesn’t require any $$. I want to  buy it from BestBuy. This is strange.  See pic. Sure hope this isn’t a game with the indirect channels ,1,,,
@luv_blog,Luvafricablog,22 Nov 2022,@brainjotter__ ,,,,
@soji_tony,Dj~save,22 Nov 2022,"All of you on this app,you pipu cannot contribute money for me so I can buy  iPhone ,

Is not fair ooo,
Even if na iPhone 4 I go use oya 

9038986608
Opay
Soji Tony I want to  buy  iPhone oooo ",,,,
@Samzyfrosh52,Samzyfrosh,22 Nov 2022,@RealChiefPriest ,1,,,
@deltadeb60,Deborah Aarnes,21 Nov 2022,"@elonmusk This is a serious question, please answer. Are you still giving regular folks a blue checkmark? i have an android phone. I want to  buy an iPhone , but I would be more inclined to do so if the offer is still valid. Will gladly pay $8 a mo. ",,,,
@Successfullboss,Success Ss,21 Nov 2022,"I want to do Yahoo I don buy big polo big trousers, iPhone , laptop & bleaching  cream & neck chain. wetin remain abeg ",,,,
@nitnag_,nit!!,21 Nov 2022,"i miss having an iPhone and i want to  buy one so bad but
1) i have to call to buy one
2) i have a working phone and i can't buy another if i have one bc why would i i just can't ",,,,
@justinloyalstan,Wiki SAW JUSTIN || WILL SEE BEYONCÉ 110,20 Nov 2022,"I want to sell my iPhone 8 because I won't use it anymore, but I have no idea if anyone will buy it, because everyone bought the newest iPhones that Apple dropped this year jssjsjjsjssj wish me luck ",,,,
@Balmain,Balmain,,"Revivez le défilé Balmain Automne-Hiver 2023, mettant en lumière le savoir-faire de la Maison et le ""New French Style"" signé Monsieur Balmain. #BALMAINFW23 ",,6,19,209.3K
@luv_blog,Luvafricablog,20 Nov 2022,@brainjotter__ ,,,,
@rumshum12,Rimsha Tahir,20 Nov 2022,"Never been a fan of expensive gadgets, if it serves you the purpose then why spend money on something similar,  like come on if I can make a phone call from my Samsung why would I want to  buy an iPhone for that. ",,,,
@ITISJIDDA,Jidda Sanusi,20 Nov 2022,@brainjotter__ ,,,1,
@abdulkhader2321,Aʙᴅᴜʟ Kʜᴀᴅᴇʀ,20 Nov 2022,@TheGalox_ ,,,,
@Beer_Buddie,Crypto Buddy,20 Nov 2022,@jpbeeman and and @SamiFathi_ ,2,,2,
@SaRa90561,Anamul,20 Nov 2022,#BlackFriday  #LBank  i want to  buy  Iphone in black friday ,,,,
@BBobzom,Bobga Bobzom,19 Nov 2022,"I want to do Yah0o! I don buy big polo, big trouser, iPhone , and bleaching cream abeg wetin remain. ",,,,
@dahniyank2244,Gillingham,19 Nov 2022,@DAMIADENUGA ,,,,
@ajeeshemr,ajeesh,19 Nov 2022,@F2O_Official ,5,,,
@ajeeshemr,ajeesh,19 Nov 2022,@valismind ,1,,,
@ajeeshemr,ajeesh,19 Nov 2022,@NoMmabatho ,,,,
@ajeeshemr,ajeesh,19 Nov 2022,@miakhalifa ,,,1,
@ajeeshemr,ajeesh,19 Nov 2022,@MiaKhalifa_Only ,,,,
@_DevendraSahu,Devendra Sahu,19 Nov 2022,"@tim_cook Sir i want to  buy  iphone 14 plus But I am not able to buy because it is expensive. Sir, make it so cheap that I can fulfill my dream by buying iPhone 14 Plus. ",,,,
@miltee_tdot,miltee,18 Nov 2022,@DePapaChops ,1,,,
@onaelnyiti7,onaelnyiti,18 Nov 2022,@onaelnyiti7 and and @WardLadon ,1,,,
@kanskeDroda,Alexander,18 Nov 2022,@NVIDIAGeForce and and @NVIDIAStudio ,,,,
@Samuel_McEwen,Samuel John McEwen,18 Nov 2022,The auto address function is the worst online. I want to  buy my iPhone from @Telstra and my address isn’t coming up so I can’t proceed. Help! ,,,,
@giopanimalik13,Gio Pani Malik,18 Nov 2022,"If it's true that i got $ 24,653, the first thing I will do is save $ 15,000 and then for $ 5000 I want to  buy an iPhone 14 Pro Max and its complete accessories because it is my dream cellphone once and for the rest I will invest $ 4,653 in a company that have long-term benefits. ",,,,
@__R0MAN__,R O M A N,17 Nov 2022,@Araviii_Kohlii_ ,1,,,
@sixnema,vinnie,17 Nov 2022,@howoozey ,1,,,
@JrCherwon,Fanatic,16 Nov 2022,Just when I want to  buy an Iphone  @elonmusk removes the Twitter for Iphone tag sigh reminds me when the Block whore was servicing everyone and when it was my turn she demanded a romantic relationship. ,,,,
@hareotona,Hareotona,16 Nov 2022,@hashi_e ,1,,1,
@tkreidl,Tobias J. Kreidl,16 Nov 2022,@Yorkie71 @reillyusa and and @pjhough ,,,2,
@fairy_ghostman,Ghostman,16 Nov 2022,"i want to  buy a iphone but why does it cost me like a ps5?

maybe I will rather buy a ps5 than I simple smartphone... ",,,,
@dizcomfortzone1,Discomfort Zone,15 Nov 2022,I’m not sure I want to  buy an iPhone that’s assembled by them. ,,,,
@revetwink,prettyboy yerene month,15 Nov 2022,Deserve ko ba ng iphone 13? Tom is my bday and i want to  buy myself a new phone this dec. Combined bday and xmas gift for myself for working so hard. ,1,,,
@placicimrak,SAW HARRY AND LOUIS,15 Nov 2022,"harry has a blue iphone and i want to  buy a blue iphone too after the new year, we will be bestieeeeeees ",,,,
@ltf426,.,13 Nov 2022,@VodafoneUK Hi i want to  buy  iphone 14 monthely but i havnn't phone number in Vodafone how I can buy it ? ,,,,
@Balmain,Balmain,,"S'appuyer sur un héritage singulier. La collection #BALMAINFW23 du directeur de la création Olivier Rousteing se tourne vers l'avenir en s'inspirant du passé, en faisant revivre l'architecture de la silhouette Jolie Madame de Monsieur Balmain. ",,1,6,201.4K
@sanatny,nina⁸ !! missing ateez / junny in vienna,13 Nov 2022,i want to  buy the iphone 14 pro but also new tattoos ,,,,
@emeraldoluxo,Olutayo Iyanu,13 Nov 2022,Oh God of Twitter I want to  buy  iPhone 13 ,,,,
@sanjaychachu,Sanjay,13 Nov 2022,@Apple really I want to  buy my dream but till to date I wasn't possible to buy  iPhone in my life is there any offers for me please send that ,,,,
@moodswingslvr,m,13 Nov 2022,i forgot what i wanted to say OH AIT I REMEMBERED can apple release the iphone 15 or whatever i want to  buy the 11 cheaper ,,,,
@justnvc,nvc,12 Nov 2022,@Nopileus and and @elonmusk ,1,,,
@ikvinjeleuk,hope,12 Nov 2022,"@ATT do I get a discount if I buy an additional iphone 14 from y’all cash?? I have an installment plan phone but I want to  buy another one cash, is there a discount? ",,,,
@QueenWordsmith,Mama Action,12 Nov 2022,Mgidi aka Mcimbi Budgeting is MAD. I want to  buy an iPhone mna. Why ndifakwa?! ,,,,
@niiravmodi,Dr Nimo Yadav,12 Nov 2022,@thakhurarunsing ,2,,4,
@PearlMuwa,muwa,12 Nov 2022,How much is an iPhone 11 64gb? I want to  buy one ,,,,
@XAndresPedre,Andres (33.3%),12 Nov 2022,@CryptoAnglio ,1,,,
@wotowoto_master,wotowoto master,11 Nov 2022,@brainjotter__ ,,,,
@lovestay2017,Lucy | ℌ𝔶𝔲𝔫𝔢'𝔰 𝔪𝔬𝔫𝔱𝔥,11 Nov 2022,I want to  buy a iPhone  ,,,,
@tm0th3e,⋆ ⁎ alice,11 Nov 2022,suddenly i want to  buy an iphone ,,,,
@yinqurvegraphix,yinqurvegraphix,8 Nov 2022,"ME: I want to  buy  iPhone 14
SAPA: ",1,,1,
@AmbassadorPussy,PussyGangAmbassador,8 Nov 2022,Hello boda ola Shey you dey house tomorrow I want to come and use your iPhone snap Okay no prob if you dey come buy condom come ,,,,
@nggtydst,hasssshhhhh,8 Nov 2022,@TineraCases ,,,1,
@marklips27,@marklips,7 Nov 2022,@sanjaegar ,,,1,
@aproko_doctor,Dr. Chinonso Egemba,7 Nov 2022,"I just discovered @findwithcatlog and they make it easy for me to find items I want to  buy directly on twitter by just searching for the item using #findwithcatlog e.g: Bag “ #findwithcatlog ” 
you can search by location too

e.g: iphone Lagos “ #findwithcatlog ”

You should try it. ",2,21,96,
@namiituber,Namito | DEBUT MARCH 17TH,7 Nov 2022,"I want to do vbriger for the Live2D modells, but I don't own an Iphone so I woudn't be able to test it sucks, because I don't want to buy an iphone just because of this, my current phone is still working ",,,,
@ShhhhMajority,"I ᖇᗴᗩᒪᒪƳ ᗪᗝᑎ'丅 ᑕᗩᖇᗴ, ᗪᗝ Ƴᗝᑌ?",7 Nov 2022,"I can block ads on my PC, but not on my iPhone . I really wish I knew how to block all these ads on my iPhone . I can't stand ads. If I want to  buy something I can think for myself. I don't need an ad telling me what to buy . ",,,,
@sully42068,David Chicago,6 Nov 2022,Didn’t even think about till just now but since it’s been 2-3 years since I’ve been to a Ticketmaster venue my shitty old iPhone won’t even run their app anymore so basically 90% of their events I can’t even buy a ticket to if I want to . Seriously @LiveNation mobile only is ,,,,
@zelleaii,,6 Nov 2022,I want to fucking buy  iphone storage ,,,,
@_Peace_24_7,Zombie,6 Nov 2022,Guy's I want to  buy  iPhone 14pro max i need some donation. Will you guys help me. ,,,,
@safemoonmamba,Stephen T,6 Nov 2022,@elonmusk ,,,,
@Olamide76443612,Olamide,5 Nov 2022,@bossolamilekan1 ,,,,
@rijonsaccount,Rijon ❼,5 Nov 2022,@CookiesProtocol ,1,,,
@aewinterhaul,,5 Nov 2022,"hi i want to  buy  iphone x - 11, trusted ba rito sa twitter? ",,,,
@RichNellyking,Dream Guy,5 Nov 2022,I have only 10gh but i want to  buy  iPhone X...who go sponsor me?  @mreazi how is the family? ,,,,
@goodsells_ng,cute picture space,5 Nov 2022,@VictorIsrael_ and and @Hurpee_1 ,,,,
@marvin_H96,Marvin The Hiker,5 Nov 2022,@nucturnality @She_Staunch and and @Ibrahimbazkid24 ,2,,6,
@n_makhubele,GENARO,4 Nov 2022,"Can y'all please donate for me too I want to  buy an iPhone  ,Dr Malinga proved that it's possible ",,,,
@Topkolly,JESPON,4 Nov 2022,@Mr_Yomadey ,1,,1,
@lildark_45,with God all things are possible,4 Nov 2022,@prett_Ama ,,,,
@Random_Robby,Robby,4 Nov 2022,"Now where the fuck is Twitter marketplace? Need a place to buy and sell stuffs like on Facebook someone sell me an iphone 14 pro max S edition for $100 can we make groups on here like Facebook? I want to sees it,my precious ",,,,
@namjoonkimt,-,4 Nov 2022,"Want to buy  iphone X xs x max , iphone 11. Drop harga dan kondisi... i want to  buy  iphone  #zonauang gas gass seriusan mau beli w susah betul anj.. ayo ayo yang mau jual ",,,,
@lo_ni_mi,Aburo Toni Tones,3 Nov 2022,@_sodiq ,1,,1,
@senrinotats,ルシア,2 Nov 2022,"Many people criticize the iPhone 14 but i want to  buy it, but it's very expensive here ",,,,
@Cromefire_,Cromefire_,2 Nov 2022,@Cromefire_ and and @LinusTech ,,,,
@gauravsarak006,Gaurav Sarak,2 Nov 2022,Sir you are my favourite tech youtuber. I want to  buy  iPhone 12 128GB at cheapest price after 4-5 months and my priority is future 5G ready and to use at least 5-6 years so when I should buy will it come near 40-45k  after 6months. Please give your opinion.  @GyanTherapy ,,,,
@son_of_chauhan,Prem chauhan,2 Nov 2022,@TechTurbanator ,,,1,
@Nyxeeeeeee,SCHOOLOFOPTIONS,2 Nov 2022,@cryptojack ,1,,1,
@jiminbootyfat15,YOONGI BDAY BASH,2 Nov 2022,i want to  buy the iphone 14 sb but i do not have $799 ,,,,
@9jamade_me,Feb 25th,2 Nov 2022,@dstkf @omox600 and 3 others ,2,,,
@justfabbb,석진,2 Nov 2022,"I want to get a new phone in December, but I also need to purchase eyeglasses, want to dye my hair (balayage), purchased Seokjin's record and intend to purchase Jungkook's album when it becomes available, among other things. I could buy another iPhone if I decide not to spend the ",,,,
@Robin48981473,Robin,2 Nov 2022,I want to  buy  iPhone ,,,,
@LaariKarim,Snr. Laari ( Son of the North),2 Nov 2022,"I want to  buy mama(mum) iphone XR.
Help me raise some funds... ",,,,
@christinek2010,Ms. Christine,1 Nov 2022,@kayxswankk @ARSCON12 and 2 others ,1,,2,
@krishan_baheti,Krishan Baheti,1 Nov 2022,"@geekyranjit hello sir , I want to  buy a mobile . Confused between IPHONE 13 pro and Samsung galaxy ultra 22.. kindly advise . ",,,,
@Carolina_1522,✩ ℂ𝕒𝕣𝕠𝕝𝕚𝕟𝕒 ✩,1 Nov 2022,"@AppleSupport Hi! I want to  buy a new iPhone 14 Pro and I have an old iPhone XS, an Apple Watch Series 5 and an iPhone 14 Pro. Can I include those 3 devices in the renovation program to buy the new iPhone ? Or just one? Thanks! ",,,,
@wilsonyimby,Wilson YIMBY,1 Nov 2022,@amerhadiazmi ,4,6,123,
@Twenty1st_Pilot,Adewale D. Adeyemi,31 Oct 2022,@Aguywithnoname0 @beautychick6111 and and @instablog9ja ,2,,3,
@ajeeshemr,ajeesh,31 Oct 2022,@MiaMomHot ,,,,
@ajeeshemr,ajeesh,31 Oct 2022,@Timothy84550518 and and @SusanHotMM ,,,,
@JituSon81245325,Jitu Soni,31 Oct 2022,@AmazonHelp ,2,,,
@JituSon81245325,Jitu Soni,31 Oct 2022,"@amazonIN  @AmazonHelp  @amazon  @amazon Sir I want to  buy  Iphone 13
But mera vivo x80 phone exchange nhi ho ra he vivo x80 ka exchange me name nhi aa ra he ",,,,
@0hshin,"blue lily, lily blue",31 Oct 2022,Why are people losing their mind when I say I want to  buy samsung galaxy flip 4 instead of iPhone 14 ,,,,
@RAVIKUMARSAGAR_,Ravikumar Sagar,30 Oct 2022,"oppose him ,he don't care about rules or others,he is the final decision maker.The worst behaviour ever , Today i went to buy an iPhone as i have 1 lakh + limit in my card , I want to pay 38k as a down payment and the remaining payment via card  but these Bajaj finance people ",,,2,
@Voiceofleoh,V.O.L,30 Oct 2022,@Ekitipikin ,,,1,
@mambodemedrano,Henry Medrano,30 Oct 2022,"@SIMPLEMobile Hi, are you planning to use eSIM in the future? Because I’m a simple mobile customer I use IPhone and I want to  buy an IPhone 14 that only works with eSIM. ",,,,
@imamitk007,Amit Kadam,30 Oct 2022,@TheGalox_ ,4,,1,
@Squeezeme024,Squeeze Me,30 Oct 2022,I want to  buy  iPhone any plug? ,,,,
@Steenbjerg,Marie Steenbjerg,30 Oct 2022,@AJamesMcCarthy and and @NYModel3Fan1 ,1,,,
@Syvxfa,entah,29 Oct 2022,Tkpe lah penat. Hustle Demi hasil. I WANT TO  BUY THE NEW AIRPODS N IPHONE 14 PRO MAX SO BADLY. N now I even have to set aside cash for my voltbar babies ,,,,
@asaudioslave,rbronydevil,29 Oct 2022,"@AppleSupport iadvance apple store, jail road, tilak nagar, new delhi, denied to sell iphone 14 pro max  to me coz i did not want  to buy applecare+.I thought i had a choice what i want to  buy or not buy . Really disappointed with experience as this could have been my 1st iphone . ",,,,
@vmindolI,juIia,29 Oct 2022,couldn’t choose between silver or gold for the new iphone  i want to  buy but now the deep purple one looks really good to me too… i’m never going to be able to make a decision ,,,,
@itz_nothing07,Kaif ansari,28 Oct 2022,@pulte ,2,,,
@hassukaidi,The Broke Guy,28 Oct 2022,@appltrack and and @mingchikuo ,,,,
@ostrovskaya_art,Zhenya,28 Oct 2022,"2/2 I've been dreaming of saving up for a new iPad Pro, but last night I wanted to upgrade my phone so bad! I want to  buy an iPhone 11, I hope I can do it!!!  #NFTCommunity  #NFTArtist  #NFTfamily ",,,,
@untroubled_soul,aggressively sweet,27 Oct 2022,"gosh I hate iPhone users so bad lol I could buy 2 iphones if I want to , I just *prefer* the Android OS because it's simply better. 
But the way y'all behave puts me off even more, I'll never buy an iPhone ever, even if they finally catch up to Android/Google/Samsung. ",,,,
@Armataan,Justin C Adams (Boycott Activision),27 Oct 2022,@SteamDeckHQ @LittleBigPlanet and and @SumoDigitalLtd ,2,,1,
@iAbhinavPal,Abhinav Pal,27 Oct 2022,@DaBabyDaBaby ,,,,
@loybuhwang,CHESHIRE OUT NOW ≷,27 Oct 2022,I want to  buy an iphone na talaga puta pera where ,,,,
@obynofranc,tony francis,26 Oct 2022,I'm trying to price this iPhone Xr I want to  buy next year and I'm seeing 190k. I need to work harder till January and I must get it. ,,,,
@NuwasiimaTamali,Tamali,26 Oct 2022,@NalubiriJackie and and @ReecyAtuhaire ,,,1,
@nachimomoago,なち,26 Oct 2022,@HAFA_Codm ,1,,1,
@Kenniwizzy_,Kenniwizzy,26 Oct 2022,@Naija_PR ,,,1,
@bb_roberson,BB Roberson,26 Oct 2022,I want to congratulate Apple on the Ultra !  I am excited to see their next innovation!  I didn’t buy an Ultra or iPhone 14. My AW6 and iPhone12 still work great.  ,,,,
@neonlover__,Ivy ♭²⁴ఇ hates wakeone,25 Oct 2022,@no_feu @proud_serene and and @thvamxp ,,,,
@Miss____lily,Lily,25 Oct 2022,"*Need suggestion* I want to  buy new phone.I hv 1lac.Which phone should I go for?Actually i want to  buy  iphone 11 second hand. Is it worth it? Or should I switch my desire? 
It would be welcoming if anyone of you can guide me because I'm a dumb person in this case... ",,,,
@jimmyaquino,Jimmy Aquino,25 Oct 2022,"I want to  buy new iphone 14 pro (tend to buy new phone every 2 yrs). Sold out in NYC. Online I can get one to pick up at NYC store. Weirdly, they wont take my trade in AT the store when I pick up order if I just buy . But will take trade if I do monthly payments? HUH? @Apple ",,,,
@HappyBoomer4,Alioop,25 Oct 2022,@PatentlyApple ,,,,
@Festusvuga,Investor$Vuga,24 Oct 2022,@TechCabal ,1,,1,
@SuhairGany,Arf,24 Oct 2022,@PiNewsMedia and and @PiCoreTeam ,1,,,
@RJunioremrys,$CORE-LORD,24 Oct 2022,@_Pearl_xoxo and and @TalentedFBG ,1,,,
@HarirZharfan19,harIR,24 Oct 2022,"So apa problem current iPhone 14 Pro? I want to ensure when I buy one, the problems are solved already. Usually I buy phones 4-5 months after release. FOMO isn’t my thing. ",,,,
@bikramsingh7235,Vikram Singh,24 Oct 2022,"@JeffBezos sir i want to  buy  iPhone 14, don't have that much of money. Please give 50% discount and make my diwali * iPhone wali*.
 Happy Diwali to you and Amazon team. ",,,,
@DTravller,devendra Prajapati,24 Oct 2022,@Apple  I want to  buy Apple iPhone 14 Pro Max and in India they are adding insurance charge also that's too much 21000 Indian Rs. I want to skip this price is it possible or is it necessary ,,,,
@theblackbird69,Blackbird,23 Oct 2022,@SisiphoThisani ,2,,,
@laxman_pagi,Laxman,23 Oct 2022,"I want to  buy an iPhone 14 but if you give me a charger along with the mobile, I will buy  iPhone 14 otherwise not @Apple ",,,,
@kevinbestboyz,༘⋆ wonjinnaz | boysplanet,23 Oct 2022,I want to  buy an iphone 13 so bad the pink one ,,,,
@afrolinguist,Omoba of Ijare,23 Oct 2022,Hmm 256gb or 512gb storage? I’ve run out of 128gb storage on my iPhone 12 and I pay for 200gb iCloud storage but it’s because I have photos/videos from 2012-present lol. If I buy a new phone I want to start from scratch rather than transfer everything on my current phone ,,,,
@KarenMontiel,it’s my bday TADA~,23 Oct 2022,Just noticed that Yuan changed his phone to iPhone but now I want to  buy Samsung ,,,,
@nickiminajm_,Well Barbz,23 Oct 2022,@iamsantwan @bardisincere and and @theestallion ,1,,,
@sazaaidah,aidah,23 Oct 2022,ipad.... and the pencil.... i rarely use them and i want to sell/trade in balik bought both for $1.1k could have buy  iphone 13 back then aksjajshshshshshshsjsj ,1,,1,
@big_reputa,N | Maroon,22 Oct 2022,@notwildscreamz ,,,,
@_tolerateit,,22 Oct 2022,@sondesix ,,,,
@yfly58,The Presence,22 Oct 2022,"E.g, I want to  buy a new phone... the latest iphone 14, the trigger for the phone is actually not because you really need a new phone, because nothing is wrong with your old phone and if its damaged you can easily fix it... the real trigger is an emotional reason... ",,,,
@JaysonP86471338,Jayson Paul,22 Oct 2022,"Look, don't ask me what type of phone am I using... Note, I am using Android but I can buy  iPhone 14 if I want to ...stop being rude because ur guy is using Android phone... Phones aren't achievement. I have dream to build a business of 10 employee b4 2024 ending.this is my iphone ",,,,
@omooba_okin,OYEKANMI (HOD)™,22 Oct 2022,@BrownGenesis2 and and @instablog9ja ,1,,3,
@Mohdzulhaikal8,Mohdzulhaikal,22 Oct 2022,@carxstreetleaks ,,,1,
@exovertt,¹ᵇ~G: top 0.001% listener of sc,21 Oct 2022,"i want to  buy an iphone because my sister has one. but i like the dark purple one. it's too costly. i won't have much to my name if i buy that. i want to  buy jd album but then i want to save up for exo concert. 

why can't some fairy give me 80 million usd ",,,,
